date,open,high,low,close,adj_close,volume
11/19/2019,75.019997,75.019997,75.019997,75.019997,74.991386,0
11/20/2019,74.720001,74.720001,74.720001,74.720001,74.691498,0
11/21/2019,74.25,74.25,74.25,74.25,74.22168,0
11/22/2019,74.019997,74.019997,74.019997,74.019997,73.991768,0
11/25/2019,74.900002,74.900002,74.900002,74.900002,74.871437,0
11/26/2019,75.449997,75.449997,75.449997,75.449997,75.421227,0
11/27/2019,75.769997,75.769997,75.769997,75.769997,75.741104,0
11/29/2019,75.75,75.75,75.75,75.75,75.721107,0
12/2/2019,74.540001,74.540001,74.540001,74.540001,74.511574,0
12/3/2019,74.459999,74.459999,74.459999,74.459999,74.431602,0
12/4/2019,74.379997,74.379997,74.379997,74.379997,74.351631,0
12/5/2019,74.620003,74.620003,74.620003,74.620003,74.591545,0
12/6/2019,75,75,75,75,74.971397,0
12/9/2019,74.709999,74.709999,74.709999,74.709999,74.681511,0
12/10/2019,74.339996,74.339996,74.339996,74.339996,74.311646,0
12/11/2019,74.5,74.5,74.5,74.5,74.471588,0
12/12/2019,74.900002,74.900002,74.900002,74.900002,74.871437,0
12/13/2019,75.760002,75.760002,75.760002,75.760002,75.73111,0
12/16/2019,76.089996,76.089996,76.089996,76.089996,76.060982,0
12/17/2019,75.860001,75.860001,75.860001,75.860001,75.83107,0
12/18/2019,75.800003,75.800003,75.800003,75.800003,75.771095,0
12/19/2019,76.300003,76.300003,76.300003,76.300003,76.270905,0
12/20/2019,75.419998,75.419998,75.419998,75.419998,75.412979,0
12/23/2019,75.18,75.18,75.18,75.18,75.173004,0
12/24/2019,75.25,75.25,75.25,75.25,75.242996,0
12/26/2019,75.620003,75.620003,75.620003,75.620003,75.612961,0
12/27/2019,75.75,75.75,75.75,75.75,75.74295,0
12/30/2019,75,75,75,75,74.993019,0
12/31/2019,75.239998,75.239998,75.239998,75.239998,75.232994,0
1/2/2020,76.099998,76.099998,76.099998,76.099998,76.092911,0
1/3/2020,75.699997,75.699997,75.699997,75.699997,75.692947,0
1/6/2020,75.949997,75.949997,75.949997,75.949997,75.942924,0
1/7/2020,75.709999,75.709999,75.709999,75.709999,75.70295,0
1/8/2020,76.690002,76.690002,76.690002,76.690002,76.682861,0
1/9/2020,77.550003,77.550003,77.550003,77.550003,77.542786,0
1/10/2020,77.639999,77.639999,77.639999,77.639999,77.632774,0
1/13/2020,78.480003,78.480003,78.480003,78.480003,78.472694,0
1/14/2020,78.040001,78.040001,78.040001,78.040001,78.032738,0
1/15/2020,78.830002,78.830002,78.830002,78.830002,78.822662,0
1/16/2020,79.669998,79.669998,79.669998,79.669998,79.662582,0
1/17/2020,80.290001,80.290001,80.290001,80.290001,80.282524,0
1/21/2020,80.400002,80.400002,80.400002,80.400002,80.392517,0
